Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2021-01-12 23:32:32 +0000,Dumbbell Squat, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Squat, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Squat, 12,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Romanian Deadlift, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-11 00:28:21 +0000,Romanian Deadlift, 5,38.55539730202938,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-11 00:28:21 +0000,Romanian Deadlift, 6,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Romanian Deadlift, 6,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Romanian Deadlift, 6,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Romanian Deadlift, 6,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Decline Bench Press, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-11 00:28:21 +0000,Barbell Decline Bench Press, 6,43.091326396385774,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Decline Bench Press, 6,49.895220037920375,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Decline Bench Press, 9,58.96707822663317,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Decline Bench Press, 9,58.96707822663317,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Curl, 10,20.41168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Curl, 10,20.41168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Curl, 10,20.41168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Barbell Curl, 10,20.41168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Dumbbell Romanian Deadlift, 8,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Romanian Deadlift, 8,15.87575183024739,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Romanian Deadlift, 12,18.14371637742559,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Romanian Deadlift, 12,18.14371637742559,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Seated Dumbbell Curl, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Seated Dumbbell Curl, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Seated Dumbbell Curl, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Seated Dumbbell Curl, 10,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Fly, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Fly, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Fly, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Dumbbell Fly, 11,11.339822735890994,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-11 00:28:21 +0000,Sit Up, 15,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Sit Up, 15,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Sit Up, 15,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-11 00:28:21 +0000,Sit Up, 15,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Back Squat, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-09 23:05:58 +0000,Back Squat, 5,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Back Squat, 5,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Back Squat, 5,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Back Squat, 5,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Back Squat, 5,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Bent Over Barbell Row, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-09 23:05:58 +0000,Bent Over Barbell Row, 10,31.75150366049478,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Bent Over Barbell Row, 10,31.75150366049478,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Bent Over Barbell Row, 10,31.75150366049478,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Close-Grip Bench Press, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-09 23:05:58 +0000,Close-Grip Bench Press, 12,29.483539113316585,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Close-Grip Bench Press, 12,29.483539113316585,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Close-Grip Bench Press, 12,29.483539113316585,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-09 23:05:58 +0000,Bulgarian Split Squat, 8,20.41168092460379,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-09 23:05:58 +0000,Bulgarian Split Squat, 8,20.41168092460379,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-09 23:05:58 +0000,Bulgarian Split Squat, 10,22.67964547178199,0.0,0.0,0.0,0.0,false,, 2.0
